Date,State,TotalSamples,Negative,Positive
4/17/2020,Andaman and Nicobar Islands,1403,1210,12
4/24/2020,Andaman and Nicobar Islands,2679,,27
4/27/2020,Andaman and Nicobar Islands,2848,,33
5/1/2020,Andaman and Nicobar Islands,3754,,33
5/16/2020,Andaman and Nicobar Islands,6677,,33
5/19/2020,Andaman and Nicobar Islands,6965,,33
5/20/2020,Andaman and Nicobar Islands,7082,,33
5/21/2020,Andaman and Nicobar Islands,7167,,33
5/22/2020,Andaman and Nicobar Islands,7263,,33
5/23/2020,Andaman and Nicobar Islands,7327,,33
5/24/2020,Andaman and Nicobar Islands,7327,,33
5/25/2020,Andaman and Nicobar Islands,7363,,33
5/26/2020,Andaman and Nicobar Islands,7448,,33
5/27/2020,Andaman and Nicobar Islands,7499,,33
5/28/2020,Andaman and Nicobar Islands,7519,,33
5/29/2020,Andaman and Nicobar Islands,7567,,33
5/30/2020,Andaman and Nicobar Islands,7567,,33
5/31/2020,Andaman and Nicobar Islands,7706,,33
6/1/2020,Andaman and Nicobar Islands,7805,,33
6/2/2020,Andaman and Nicobar Islands,8086,,33
6/3/2020,Andaman and Nicobar Islands,8295,,33
6/4/2020,Andaman and Nicobar Islands,8413,,33
6/5/2020,Andaman and Nicobar Islands,8694,,33
6/6/2020,Andaman and Nicobar Islands,9037,,33
6/7/2020,Andaman and Nicobar Islands,9242,,33
6/8/2020,Andaman and Nicobar Islands,9341,,33
6/9/2020,Andaman and Nicobar Islands,9859,,33
6/10/2020,Andaman and Nicobar Islands,10010,,35
6/11/2020,Andaman and Nicobar Islands,10226,,38
6/12/2020,Andaman and Nicobar Islands,10697,,38
6/13/2020,Andaman and Nicobar Islands,10955,,38
6/14/2020,Andaman and Nicobar Islands,11356,,38
6/15/2020,Andaman and Nicobar Islands,11518,,41
6/16/2020,Andaman and Nicobar Islands,11809,,44
6/17/2020,Andaman and Nicobar Islands,12239,,44
6/18/2020,Andaman and Nicobar Islands,12622,,45
6/19/2020,Andaman and Nicobar Islands,12930,,47
6/20/2020,Andaman and Nicobar Islands,13320,,47
6/21/2020,Andaman and Nicobar Islands,13434,,48
6/22/2020,Andaman and Nicobar Islands,13511,,48
6/23/2020,Andaman and Nicobar Islands,13723,,50
6/24/2020,Andaman and Nicobar Islands,13994,,56
6/25/2020,Andaman and Nicobar Islands,14277,,59
6/26/2020,Andaman and Nicobar Islands,14583,,72
6/27/2020,Andaman and Nicobar Islands,14851,,73
6/28/2020,Andaman and Nicobar Islands,15094,,83
6/29/2020,Andaman and Nicobar Islands,15410,,90
6/30/2020,Andaman and Nicobar Islands,15709,,97
7/1/2020,Andaman and Nicobar Islands,15982,,100
7/2/2020,Andaman and Nicobar Islands,16278,,109
7/3/2020,Andaman and Nicobar Islands,16626,,116
7/4/2020,Andaman and Nicobar Islands,16832,,119
7/5/2020,Andaman and Nicobar Islands,16909,,125
7/6/2020,Andaman and Nicobar Islands,17095,,141
7/7/2020,Andaman and Nicobar Islands,17381,,147
7/8/2020,Andaman and Nicobar Islands,17643,,149
7/9/2020,Andaman and Nicobar Islands,17852,,151
7/10/2020,Andaman and Nicobar Islands,18046,,156
7/11/2020,Andaman and Nicobar Islands,18315,,163
7/12/2020,Andaman and Nicobar Islands,18447,,163
7/13/2020,Andaman and Nicobar Islands,18609,,166
7/14/2020,Andaman and Nicobar Islands,18884,,171
7/15/2020,Andaman and Nicobar Islands,19061,,176
7/16/2020,Andaman and Nicobar Islands,19227,,180
7/17/2020,Andaman and Nicobar Islands,19421,,194
7/18/2020,Andaman and Nicobar Islands,19671,,198
7/19/2020,Andaman and Nicobar Islands,19904,,203
7/20/2020,Andaman and Nicobar Islands,20301,,207
7/21/2020,Andaman and Nicobar Islands,20642,,212
7/22/2020,Andaman and Nicobar Islands,21043,,221
7/23/2020,Andaman and Nicobar Islands,21310,,240
7/24/2020,Andaman and Nicobar Islands,21743,,259
7/25/2020,Andaman and Nicobar Islands,21965,,290
7/26/2020,Andaman and Nicobar Islands,22049,,324
7/27/2020,Andaman and Nicobar Islands,22548,,338
7/28/2020,Andaman and Nicobar Islands,22925,,363
7/29/2020,Andaman and Nicobar Islands,23217,,428
4/2/2020,Andhra Pradesh,1800,1175,132
4/10/2020,Andhra Pradesh,6374,6009,365
4/11/2020,Andhra Pradesh,6958,6577,381
4/12/2020,Andhra Pradesh,6958,6553,405
4/13/2020,Andhra Pradesh,8755,8323,432
4/14/2020,Andhra Pradesh,10505,10032,473
4/15/2020,Andhra Pradesh,11613,11088,525
4/16/2020,Andhra Pradesh,20235,19701,534
4/17/2020,Andhra Pradesh,20235,,572
4/18/2020,Andhra Pradesh,21450,20487,603
4/19/2020,Andhra Pradesh,26958,26311,647
4/20/2020,Andhra Pradesh,30733,30011,722
4/21/2020,Andhra Pradesh,35755,34998,757
4/22/2020,Andhra Pradesh,41512,40699,813
4/23/2020,Andhra Pradesh,48032,47139,893
4/24/2020,Andhra Pradesh,54338,53383,955
4/25/2020,Andhra Pradesh,61266,60250,1016
4/26/2020,Andhra Pradesh,68034,66937,1097
4/27/2020,Andhra Pradesh,74551,73374,1177
4/28/2020,Andhra Pradesh,80334,79075,1259
4/29/2020,Andhra Pradesh,88061,86729,1332
4/30/2020,Andhra Pradesh,94558,93155,1403
5/1/2020,Andhra Pradesh,102460,100997,1463
5/2/2020,Andhra Pradesh,108403,106878,1525
5/3/2020,Andhra Pradesh,114937,113354,1583
5/4/2020,Andhra Pradesh,125229,123579,1650
5/5/2020,Andhra Pradesh,133492,131775,1717
5/6/2020,Andhra Pradesh,141274,139497,1777
5/7/2020,Andhra Pradesh,149361,147528,1833
5/8/2020,Andhra Pradesh,156681,154794,1887
5/9/2020,Andhra Pradesh,165069,163139,1930
5/10/2020,Andhra Pradesh,173735,171755,1980
5/11/2020,Andhra Pradesh,181144,179126,2018
5/12/2020,Andhra Pradesh,191874,189823,2051
5/13/2020,Andhra Pradesh,201196,199059,2137
5/14/2020,Andhra Pradesh,210452,208247,2100
5/15/2020,Andhra Pradesh,219490,217183,2157
5/17/2020,Andhra Pradesh,238998,236618,2230
5/18/2020,Andhra Pradesh,248771,246279,2282
5/19/2020,Andhra Pradesh,258450,255961,2339
5/20/2020,Andhra Pradesh,267612,265052,2407
5/21/2020,Andhra Pradesh,275704,273099,2452
5/22/2020,Andhra Pradesh,284119,281452,2514
5/23/2020,Andhra Pradesh,292969,290255,2561
5/24/2020,Andhra Pradesh,304326,301529,2627
5/25/2020,Andhra Pradesh,314566,311680,2671
5/26/2020,Andhra Pradesh,322714,319731,2719
5/27/2020,Andhra Pradesh,332378,329261,2787
5/28/2020,Andhra Pradesh,342236,338991,2841
5/29/2020,Andhra Pradesh,353874,350544,2874
5/30/2020,Andhra Pradesh,363378,359917,2944
5/31/2020,Andhra Pradesh,372748,369177,3045
6/1/2020,Andhra Pradesh,383315,379639,3118
6/2/2020,Andhra Pradesh,395681,391890,3200
6/3/2020,Andhra Pradesh,403747,399776,3279
6/4/2020,Andhra Pradesh,413733,409621,3377
6/5/2020,Andhra Pradesh,423564,419314,3427
6/6/2020,Andhra Pradesh,436335,431875,3588
6/7/2020,Andhra Pradesh,454030,449371,3718
6/8/2020,Andhra Pradesh,468276,463463,3843
